portfolio,date,type,ticker,price,entry_date,exit_date,performance
Portefeuille 1,01/01/2020,add,BNP Paribas,100.0,01/01/2020,,
Portefeuille 1,01/01/2020,add,Capgemini,20.0,01/01/2020,,
Portefeuille 1,01/01/2020,add,Crédit Agricole,80.0,01/01/2020,,
Portefeuille 1,01/01/2020,add,LVMH,430.0,01/01/2020,,
Portefeuille 2,01/01/2024,add,Kering,50.0,01/01/2024,,
Portefeuille 2,01/02/2024,add,Société Générale,1000.0,01/02/2024,,
Portefeuille 2,01/01/2024,add,Thales,70.0,01/01/2024,,
Portefeuille 2,28/01/2025,close,Kering,33.62,,28/01/2025,-32.760000000000005
Portefeuille 2,28/01/2025,close,Société Générale,1335.22,,28/01/2025,33.522
Portefeuille 2,01/12/2024,add,Schneider Electric,100.0,01/12/2024,,
Portefeuille 1,29/01/2024,add,Accor,100.0,29/01/2024,,
Portefeuille 1,29/01/2024,add,Air Liquide,0.0,29/01/2024,,
Portefeuille 1,29/01/2025,close,Accor,134.61,,29/01/2025,34.610000000000014
